Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4914689,HWF_0001,COUNTRY,POL,EUR,YEAR,Europe,,,2020,,,,,,,33.03,33.03,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5118168,HWF_0001,COUNTRY,RWA,AFR,YEAR,Africa,,,2015,,,,,,,1.1,1.1,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5218266,HWF_0001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2016,,,,,,,8.9,8.9,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5268063,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2010,,,,,,,5.43,5.43,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5402575,HWF_0001,COUNTRY,UGA,AFR,YEAR,Africa,,,2012,,,,,,,0.98,0.98,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5546501,HWF_0001,COUNTRY,MEX,AMR,YEAR,Americas,,,2016,,,,,,,23.45,23.45,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
5591089,HWF_0001,COUNTRY,RWA,AFR,YEAR,Africa,,,2022,,,,,,,0.9,0.9,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5845481,HWF_0001,COUNTRY,TUR,EUR,YEAR,Europe,,,2017,,,,,,,18.05,18.05,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5896591,HWF_0001,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2012,,,,,,,20.99,20.99,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
5946257,HWF_0001,COUNTRY,TUR,EUR,YEAR,Europe,,,2013,,,,,,,17.51,17.51,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
5973047,HWF_0001,COUNTRY,BRA,AMR,YEAR,Americas,,,2013,,,,,,,19.06,19.06,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6137383,HWF_0001,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2016,,,,,,,2.84,2.84,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6220698,HWF_0001,COUNTRY,POL,EUR,YEAR,Europe,,,2021,,,,,,,34.15,34.15,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6294716,HWF_0001,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2013,,,,,,,20.34,20.34,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6345033,HWF_0001,COUNTRY,CHL,AMR,YEAR,Americas,,,2017,,,,,,,24.3,24.3,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6363457,HWF_0001,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2015,,,,,,,4.53,4.53,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6376215,HWF_0001,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2010,,,,,,,14.6,14.6,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6378353,HWF_0001,COUNTRY,UGA,AFR,YEAR,Africa,,,2017,,,,,,,1.72,1.72,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6510832,HWF_0001,COUNTRY,GHA,AFR,YEAR,Africa,,,2014,,,,,,,1.08,1.08,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6562187,HWF_0001,COUNTRY,ZAF,AFR,YEAR,Africa,,,2017,,,,,,,7.75,7.75,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6745154,HWF_0001,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2012,,,,,,,1.97,1.97,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6784451,HWF_0001,COUNTRY,COL,AMR,YEAR,Americas,,,2017,,,,,,,21.63,21.63,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6796274,HWF_0001,COUNTRY,MEX,AMR,YEAR,Americas,,,2020,,,,,,,24.25,24.25,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6909121,HWF_0001,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,,2015,,,,,,,4.76,4.76,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7004559,HWF_0001,COUNTRY,CHL,AMR,YEAR,Americas,,,2023,,,,,,,33.34,33.34,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7023311,HWF_0001,COUNTRY,TUR,EUR,YEAR,Europe,,,2018,,,,,,,18.14,18.14,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7028868,HWF_0001,COUNTRY,COL,AMR,YEAR,Americas,,,2011,,,,,,,17.54,17.54,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7067594,HWF_0001,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2013,,,,,,,5.74,5.74,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7219122,HWF_0001,COUNTRY,UGA,AFR,YEAR,Africa,,,2022,,,,,,,1.91,1.91,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7493227,HWF_0001,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2014,,,,,,,23.54,23.54,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7612499,HWF_0001,COUNTRY,KEN,AFR,YEAR,Africa,,,2021,,,,,,,0.98,0.98,,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",2025-01-14T16:31:26.877+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
