Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7505754,MDG_0000000001,COUNTRY,RWA,AFR,YEAR,Africa,SEX,2013,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,39.1 [33.6-45.5],39.133622938,33.58357112,45.504189045,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
7511124,MDG_0000000001,COUNTRY,THA,SEAR,YEAR,South-East Asia,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.4 [6.5-9.1],7.409513396,6.534544113,9.092162947,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7511953,MDG_0000000001,COUNTRY,KEN,AFR,YEAR,Africa,SEX,2019,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,37.2 [33.6-41.5],37.24514555,33.597159474,41.46074759,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7520885,MDG_0000000001,COUNTRY,THA,SEAR,YEAR,South-East Asia,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,8.1 [7.1-9.3],8.080303504,7.116995743,9.337848306,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
7523951,MDG_0000000001,COUNTRY,IDN,WPR,YEAR,Western Pacific,SEX,2017,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,18.4 [16.0-21.4],18.431649598,15.987862719,21.382290231,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7542055,MDG_0000000001,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,SEX,2018,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,19.1 [14.0-26.3],19.064694519,13.965733189,26.285985747,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7542506,MDG_0000000001,COUNTRY,CHL,AMR,YEAR,Americas,SEX,2016,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,6.1 [6.0-6.3],6.132161478,5.95843621,6.311383841,,2025-04-15T15:49:27.583+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7552875,MDG_0000000001,COUNTRY,NGA,AFR,YEAR,Africa,SEX,2014,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,70.8 [62.3-81.0],70.777608047,62.32577142,80.982795185,,2025-04-15T15:49:27.583+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7583117,MDG_0000000001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,SEX,2017,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,65.8 [59.4-73.0],65.814467122,59.431799101,73.024982873,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
7585739,MDG_0000000001,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,SEX,2011,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,74.0 [67.7-80.7],73.998014629,67.708874847,80.677373926,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
